description,length,rate
"Odbiór w netpunkcie warszawskim - przy płatności kartą - kosztuje 2,25% płaconej kwoty. Przy zakupie części do komputera za 2000zł, nabijanie sobie 45zł za samą płatność to dość sporo.",184.0,1
"Nie polecam! Już na początku było opóźnienie w dostawie w stosunku do deklaracji terminu  przy zawieraniu umowy. Po otrzymaniu towaru (telefon komórkowy)okazało się, że nie działa ładowarka. Skorzystałam z opcji wymiany 3-dniowej i minęło już 8 dni, a telefonu dalej nie otrzymałam. Podobno wyślą za 3 dni. czyli 3-dniowa reklamacja trwa faktycznie 11 dni.Teraz żałuję, bo trzeba było od razu odstąpić od umowy i dokonać zakupu w innym solidniejszym sklepie. Ponadto regulamin sklepu jest tak sformułowany,aby wprowadzać klientów w błąd. W czasie rozmowy z infolinią dowiedziałam się, ze jeżeli w regulaminie jest mowa o terminie 24-godzinnym to oznacza on nie dobę, ale 24 godziny robocze czyli 3 dni robocze, a wiec w rzeczywistości może to być nawet okres 5 dni. Niby drobiazg, ale klient, któremu zależy na czasie zostanie ""wkręcony"", a sklep jest ""kryty"".",860.0,-1
"Zadawalająca obsługa, szybka realizacja",39.0,1
Towar zgodny z zamówieniem. Odbiór w punkcie obsługi po dwóch dniach. Bardzo dobry system informacji o stanie realizacji zlecenia. Polecam zakupy w tym sklepie internetowym. To był mój drugi zakup w sklepie.,207.0,1
"Dobry Esklep - mają dobre produkty,ale ceny trochę za wysokie w innych bywają nizsze",84.0,1
Bardzo sprawnie przeprowadzone zakupy. Serdecznie polecam,57.0,1
"Szybka przesyłka, nie było żadnych problemów!",45.0,1
Ogólnie jestem bardzo zadowolony.",131.0,1
"Bardzo pozytywnie. Zakupiłem już drugi przedmiot w tym sklepie i jestem zadowolony z zakupu. Szybko mogłem odebrać towar w punkcie w moim mieście. Bez zbędnego czekania, miła obsługa, zostałem poinformowany o gw. rozruchowej. Pełen pozytyw",239.0,1
Chyba ulubiony sklep w tej branży. Zawsze chętnie tu wracam! Polecam!,69.0,1
"Obsługa bardzo sprawna i miła. Sam towar w stanie idealnym, cena niższa niż u konkurencji - polecam zdecydowanie.",113.0,1
dziękuję",171.0,1
Bardzo dobry i konkretny sklep. A co najważniejsze dobre ceny i gratisy. Szybka realizacja i bardzo dobra komunikacja z klientem.,129.0,1
"Jestem klientem sklepu od wielu lat.Doskonała komunikacja z klientem przed zakupem. Duży parking przed punktem odbioru w Krakowie.Wszystko działa wg planu. Uprzejma, kompetentna obsługa.",186.0,1
"Bardzo szybkie i sprawne zakupy. Błyskawiczne potwierdzenie zamówienia, komunikacja mailowa i telefoniczna na najwyższym poziomie.",130.0,1
"Sklep jak najbardziej wywiązuje się w pełni ze swoich obowiązków. Miło obsługa, wszystko ok :)",94.0,1
OGÓLNIE RZECZ BIORĄC CHYBA NAJTAŃSZY SKLEP W WARSZAWIE< TRUDNO ZNALEŹĆ MIEJSCE< GDZIE MOŻNA TOWAR DOSTAĆ TANIEJ< NIEZALEŻNIE OD KATEGORII PRODUKTU> DO TEGO SOLIDNY> O JAKOŚCI MOŻE ŚWIADCZYĆ KOLEJKA PO ODBIÓR PRZED NETPUNKTEM< POMIMO DOŚĆ SZYBKIEJ OBSŁUGI DWÓCH OSÓB>,266.0,1
Kolejne zamówienie i kolejny raz wszystko OK!,45.0,1
Transakcja bez problemów.Towar zgodny z opisem.Polecam,54.0,1
"Wszystko w najlepszym porządku. Towar zgodny z opisem, szybka realizacja.",73.0,1
"Bardzo gorąco polecam, serwis niezawodny i profesjonalny. Gratuluję",67.0,1
"Super sklep, ogromny wybór artykułów, ekspresowa przesyłka i bardzo dobry kontakt ze sprzedającym. Polecam",106.0,1
"Wszystko ok, szybko i sprawnie, cena atrakcyjna, polecam!",57.0,1
"Szybko, sprawnie i profesjonalnie, świetny kontakt, towar bardzo dobrze zapakowany :)",85.0,1
Polecam sklep. Transakcja przebiegła pomyslnie,46.0,1
"Wszystko w porządku, szybka dostawa",35.0,1
Takie maile otrzymałam 4 dni z rzędu, aż postanowiłam zadzwonić na infolinie co się dzieje z moim zamówieniem.
Wszystko jak najbardziej na plus. Ogromny plus!,47.0,1
 Jestem mile zaskoczona z  kontaktu z pracownikami działu obsługi klienta. Dołożyli wszelkich starań, aby prezent, który 
"Bardzo lubię zakupy w mall.pl - mają super oferty, przesyłki nadają szybko.",75.0,1
"Absolutnie NIE polecam. Złożyłem zamówienie 10.06.2016. Poprosiłem o informację na temat produktu. Ponieważ jej nie otrzymałem zadzwoniłem sam do firmy po czym zapłaciłem za towar. Od 16.06.2017 mija już 11 dni, a ja otrzymuję tylko informację o kolejnych przesunięciach terminu wysyłki - teraz na 12.07.2016. Dodam, że towar był oznaczony jako ""Dostępny"" i objęty programem ""Gwarancji terminowej wysyłki"". Totalna porażka.",423.0,-1
"Wszystko jak najbardziejw  porzadku, ekspresowa wysylka , wysoka jakosc, POLECAM!",81.0,1
"Polecam, żadnych, szybko i bez problemów",40.0,1
"Dostawa na czas. pełna informacja o statusie zam., Towar zgodny z opisem.",73.0,1
"Współpraca na wysokim poziomie, pomocni konsultanci, szybka wysyłka. Polecam",76.0,1
B. dobry sklep. POLECAM ale radzę dokładnie weryfikować informacje o produkcie.,79.0,1
"Wszystko w porządku, nie mam żadnych zastrzeżeń. Polecam.",57.0,1
polecam",65.0,1
"Rzetelne podejście do klienta, fachowa obsługa, bardzo szybka realizacja zamówienia, wiele opcji zakupu i sposobów zapłaty za towar, wiele możliwości odbioru towaru(osobiście, poczta, kurier itp)",195.0,1
Polecam.Sprawnie i nareszcie można płacić kartą w POK.,54.0,1
Wszystko przebiegło sprawnie. Polecam,37.0,1
"Bardzo szybka wysyłka, towar wysokiej jakości. Polecam",54.0,1
"Miła obsługa towar zgodnie z opisem, szybka realizacja , ogólnie polecam",72.0,1
Bardzo szybko i bezproblemowo w dodatku taniej niż wszędzie indziej. Polecam.,77.0,1
"Wszystko w porządku, towar ok, obsługa szybka, transport gratis.
Wszystko w najlepszym porządku! Polecam w 100%!!!,49.0,1
"bardzo dobra współpraca, szybka transakcja",42.0,1
"Sklep ma bardzo przyzwoite ceny, bardzo czytelny interfejs strony internetowej  i miłą obsługę. Polecam!",104.0,1
Szybko bez żadnych zbędnych utrudnień,37.0,1
"Transakcja przebiegła pomyślnie,produkt zgodny z opisem.Okazjonalna cena.Polecam.",81.0,1
"Wszystko super- cena, czas oczekiwania na odbiór osobisty, obsługa w punkcie odbioru.",85.0,1
0,0.0,0
"Duży wybór artykułów dla dzieci i niemowląt w świetnych cenach. 
"Dzięki pełnemu profesjonalizmowi jaki prezentuje sklep, wielką przyjemnością jest robienie tu zakupów. Towar pierwsza klasa, przesyłka błyskawiczna. Bardzo dziękuję i polecam wszystkim.",185.0,1
Polecam sklep. Bardzo szybka wysyłka. Towar zgodny z opisem.,60.0,1
Wszystko się zgadza z opisem podanym na stronie ;-),51.0,1
"Wszystko ok, sklep   na  najlepszym poziomie  jesli chodzi o sprzedaż wysylkową,polecam innym  i zachęcam  do kupowania.",120.0,1
Szybka i fachowa dostawa polecam)),34.0,1
"Towar sprawnie doręczono, zgodnie z oczekiwaniami. Polecam",58.0,1
"Same superlatywy. Najlepsza cena. Szybka i tania dostawa. Towar działa bez zarzutu... Aż szkoda, że nie planuję na razie innych zakupów. Jakby co to w każdym razie wiem, gdzie szukać!",183.0,1
"Strona jest bardzo przejrzysta, opisy jasne i ceny odpowiednio widoczne. Produkty znajdujace sie na stronie sa oryginalne i nizsze niz na innych stronach. Wielkim plusem jest blyskawiczna wysylka. Paczke otrzymalam dzien wczesniej niz zapowiadana data, a ze byl to prezent urodzinowy to bylo to dla mnie bardzo wazne. Za przesylke nic nie zaplacilam.",350.0,1
Bardzo szybka dostawa towaru w promocyjnej cenie.,49.0,1
Towar zgodny z opisem szybko dostarczony:)",73.0,1
"Bardzo doby kontakt z ze sprzedającym, towar zgodny z opisem, a zdjęcia dobrze oddają jakośc produktu.",102.0,1
"Wszystko w porządku. Odbiór osobisty, więc oszczędność na przesyłce.",68.0,1
"transakcja z realizacją bardzo sprawna, potknięcie firmy dotyczyło zamówionego towaru, patelnia na stronie internetowej była z pokrywką, a otrzymałam bez pokrywki, okazało się, że to co na stronie jest nieaktualne, musiałam zgłosić reklamację",242.0,1
Bardzo sprawna i sympatyczna obsługa,36.0,1
"Dziękuje bardzo za przesyłkę, dostawa bardzo szybka. Serdecznie polecam;)",73.0,1
"duży asortyment, bardzo atrakcyjne ceny",39.0,1
"100% pozytywnie. Szybka przesyłka, informacje na bieżąco. Polecam! :)",69.0,1
Wszystko ok Szybka przesyłka Polecam!!!,39.0,1
dokonałam zakupu karmy dla psa Royal Canin Sterilised. Po pierwsze cena znacznie niższa niż w innych sklepach. Dostawa bardzo szybka. Polecam,141.0,1
sklep jest ok tylko firma kurierska nie dowiozła towaru na czas i musiałem osobiście odbierać.,94.0,1
"wszystko szybko i sprawnie ,polecam",35.0,1
Polecam. Szybko i bez żadnych problemów.,40.0,1
"Szybka wysyła, bardzo dobry kontakt :) Polecam :)",49.0,1
0,0.0,0
Wszytko przebiegło bardzo sprawnie i bez problemów. Na wysyłkę nie musiałam długo czekać więc sklep ten oceniam jak najbardziej pozytywnie.,139.0,1
"szybka obsługa , błyskawiczna wysyłka.
Gorąco Polecam !!!",145.0,1
"Bardzo dobry kontakt, błyskawiczna wysyłka, konkurencyjne ceny. Polecam sklep szkla.com.",88.0,1
"wszystko w jak najlepszym porządku. Szybko, miło i bezproblemowo :)",67.0,1
"Szybko, łatwo i profesjonalnie.",31.0,1
"Profesjonalna obsługa, szybko zrealizowane zamówienie. Wszystko w jak najlepszym porządku. Polecam każdemu",106.0,1
Jestem bardzo zadowolona. Szybka i sprawna przesyłka oraz bardzo miła obsługa.,78.0,1
"Jak zwykle bezproblemowo, błyskawiczna wysyłka, polecam.",56.0,1
"Pełen profesjonalizm,błyskawiczna dostawa,nie obawiajcie się wpłacać na konto,całkowicie bezpiecznie z gwarancją otrzymania przesyłki.Kontakt telefoniczny również bez zarzutu,Panie bardzo miłe i pomocne.Polecam.",211.0,1
"bardzo szybka realizacja zamówienia, wszystko prawidłowo, polecam!",66.0,1
"Bardzo szybka realizacja zamówienia i błyskawiczna wysyłka. Na soczewki, które zamówiłam, w innych sklepach musiałam czekać zwykle miesiąc - tutaj znacznie krócej. Jak najbardziej polecam.",188.0,1
generalnie spoko skloep. zamawialam juz kilka razy i zawsze bylo ok. ostatnio jedynie musialam poczekac dluzej bo nie mieli takich soczewek jakie potrzebowalam.,160.0,1
"Wszytstko sprawnie, szybko poza tym, że w paczce miał byc gratisowy mały płym a dołączony do soczewek, a go nie było;/",118.0,1
goraco polecam!",85.0,1
"Pełen profesjonalizm, jestem bardzo zadowolona i następnym razem też złożę zamówienie w tym sklepie.",100.0,1
"Sprawna obsługa, szybka dostawa. Jak najbardziej jestem zadowolona. I są bardzo korzystne ceny.",95.0,1
"bardzo dobry sklep, super towar, fachowa obsługa",48.0,1
szybka profesjonalna obsługa klienta,36.0,1
"Transakcja została przeprowadzona wzorcowo.Zamówiłam towar  odbiorem w sklepie. Byłam na bieżąco informowana smsowo i mailowo o postępie w realizacji mojego zamówienia.
Świetny sklep pod każdym względem - szybka realizacja :),56.0,1
"Przekonałem się, że warto kupować w Tej Firmie i takim kanałem.Jeszcze gdyby ekipa odbierała za darmo stary sprzęt to już byłby luksus.",135.0,1
0,0.0,0
Wszystko w najlepszym porządku.,31.0,1
"Beznadzieja!. Tak jedynie mogę określić ten sklep. Wyszykujesz towar z promocji w danym markecie, dzwonisz na infolinię, oby się dowiedzieć czy jest dostępny, tam oczywiście potwierdzają, ale do samego sklepu telefonować nie można. Przyjeżdżasz na miejsce a tam widnieje w systemie jedna sztuka, ale po reklamacji i sprzedać Ci nie mogą. Miałem tak dwa razy w dwóch różnych sklepach. I kto zapłaci mi za paliwo i czas?",418.0,-1
Transakcja przebiegła wzorcowo. Polecam.,40.0,1
Kupilem druga za mrazarkę tego typu .Trzeba trochę czekac ale wszystko ok,73.0,1
"Uważam, że sklep jest profesjonalny oraz szybkość realizacji zamówienia bardzo sprawna. Polecam",95.0,1
To już mój drugi zakup w tym sklepie i wszystko poszło jak po maśle :) Polecam gorąco.,86.0,1
"Szybko, sprawnie i sympatycznie.Polecam :)",42.0,1
"Duży wybór produktóe w bardzo przystępnych cenach,atrakcyjne rabaty, możliwość odbioru zamówionego towaru w sklepie w miejscu zamieszkania.",139.0,1
Solidnie i terminowo. Polecam sklep,35.0,1
Zamówienie zostało zrealizowane zgodnie z planem. Sprawnie. Pracownicy sklepu wnieśli lodówkę na III p. i ustawili we wskazanym miejscu. Wszystko zgodnie z tym co ustaliłem z konsultantem sklepu internetowego. Polecam.,218.0,1
NIGDY WIĘCEJ WOJNY I ZAKUPÓW W eURORTVAGD
"Transakcja szybka  i sprawna, sklep godny polecenia, dobry kontakt i miła obsługa.",82.0,1
Wszystko w jak najlepszym porządku. Polecam.,44.0,1
"Mały poślizg w dostępności. Zależało nam na szybkim terminie dostawy w odpowiednich godzinach. Wybraliśmy odpowiednie opcje przy zamówieniu , a potem okazało się ze dostawa przedłuży się o 4 dodatkowe dni. Sama dostawa ok, szybko sprawnie i bardzo profesjonalnie, nie ma się czego doczepić. Ogólnie polecam.",307.0,1
Euro RTV Galeria Kazimierz Kraków,33.0,1
"Sklep, który spełnia potrzeby klienta. Po raz kolejny zostałam obsłużona profesjonalnie i zgodnie z moimi oczekiwaniami. ",121.0,1
"Miła obsługa,szybka i fachowa pomoc, sprzęt bez zastrzeżeń...",61.0,1
Sklep RTV Euro AGD jest bardzo dobrym sklepem. Miła obsługa, pachowe porady i atrakcyjne ceny to podstawowe PLUSY sklepu.
"Pełen profesionalizm,szybka i fachowa obsługa ",46.0,1
"Fachowa obsługa, szybka i terminowa realizacja przesyłki.",57.0,1
Generalnie jestem bardzo zadowolony z tej placówki handlowej oraz wogóle takiej formy zakupów.,94.0,1
polecam ten sklep. Perfekcyjna i szybka obsługa. A co najważniejsze możliwość odbioru towaru w jednym z wielu sklepów EuroAGD,125.0,1
"Nie polecam.Ostatnio po zwrocie towaru oczekiwałam około 3 tygodniu na zwrot pieniędzy. Skusiłam się ponownie na zamówienie towaru w merlinie ale żałuję,bo mimo informacji przy złożeniu zamówienia,że towar będzie wysłany 20.XII to 21.XII poinformowano mnie,że jednak wyślą 23.XII i za pośrednictwem Ruchu nie otrzymam (przez ich 3dniowe opóźnienie) towaru przed świętami.Na moje zapytania mailowe nie udzielano informacji. Na infolinii zaproponowano mi pośrednictwo UPS,które miało zapewnić dostarczenie towaru 23.XII a okazało się,że kurier dzwonił z ulicy o tej samej nazwie...ale sąsiadującej miejscowości i nie mógł poza swój teren wyjechać by mi ten towar dostarczyć. Koniec końców nie otrzymałam i nie otrzymam przesyłki przed świętami choć zamówienie złożyłam 19.XII.",774.0,-1
"Sklepu nie polecam - kupiłam odżywkę do włosów, na potwierdzenie zamówienia czekałam kilka dni, w końcu przyszła wyczekiwana przesyłka - odżywka inna niż zamawiałam. Odesłałam jako zwrot, zwrócili ale kwotę mniejszą niż przeze mnie zapłacona i bez kosztów przesyłki za zwrotne przesłanie im produktu niewłaściwego (mimo, iż w dokumencie zwrotu nadmieniałam, iż proszę o zwrot tych kosztów). Po interwencji w biurze obsługi powiedziano mi, że zwrot kosztów przesyłki prześlą (musiałam się upominać dwukrotnie), a różnica w kwocie zapłaconej i zwróconej (czyli to, czego mi nie oddali) przesunęli na moją nadwyżkę na koncie w sklepie i mam ją do wykorzystania przy następnych zakupach. Dla mnie skandal - nie mam zamiaru już korzystać z usług tego sklepu, więc po co mi nadwyżka u nich, chcę zwrot całej zapłaconej przeze mnie kwoty. Po wysłaniu mailem kategorycznego żądania pełnej zapłaconej kwoty dostałam przelew na kwotę właściwą. W sumie na towar czekałam długo (potem ten sam produkt zamówiłam w mniej znanym niż duży merlin sklepie i dostałam go dosłownie w ciągu 2 dni kurierem), w końcu gdy towar doszedł to inny niż zamawiałam, a zwrotne odzyskanie pełnych poniesionych kosztów kosztowało mnie korespondowanie ze sklepem przez ponad tydzień. Nie polecam !!!",1266.0,-1
Polecam. Towar zgodny z opisem.,31.0,1
3. Miła obsługa",341.0,1
0,0.0,0
Jestem zadowolona z szybkości realizacji zamówienia. Na pewno skotrzystam ze sklepu merlin.pl przy wyborze innych rzeczy.,121.0,1
"towar i jakość ok 
"transakcja  przebiekła szybko i sprawnie ,jestem zadowolona z dokonanego zakupu, polecam",88.0,1
"Polecam wszystkim,pełny profesjonalizm.",39.0,1
"Zamowiona ksiazka dotarla o czasie, swietna obsluga, pozdrawiam",63.0,1
W dniu dzisiejszym równo po czterech tygodniach otrzymuję informację wygenerowaną automatycznie że brak klocków u dostawców i zamówienie zostaje anulowane - sądze że takowych klocków nie było po prostu od samego początku zamówienia. W ten sposób nie powinien zachowywać się sklep z wieloletnią renomą - odradzam dokonywania zakupów prezentów dla bliskich bo można się nie doczekać.",783.0,-1
Szybko profesjonalnie Polecam!!!,32.0,1
"Szybka realizacja, bardzo dobrze zapakowany towar. Polecam",58.0,1
Zamówione produkty otrzymałam bardzo dokładnie zapakowane przed ewentualnym uszkodzeniem. Pani na infolinii pomogła rozwiać wszelkie wątpliwości i doradziła w zakupach. Troszkę długo czekałam za zamówieniem około tyg. ale pewnie dlatego gdyż zamówiłam z 10 pozycji na paragonie. Wszystko inne na plus,300.0,1
"Bardzo dobry kontakt, szybka dostawa,polecam!",45.0,1
"Bardzo sprawnie działająca infolinia i szybka realizacja zamówienia, natomiast mam zastrzeżenia do prezentacji produktów i kompletowania zamówienia. Kupiłem chlebak i kosz na śmieci. Najpierw wysłano mi chlebak i tylko część kosza na śmieci. Po zgłoszeniu sprawdzono nagrania monitoringu magazynu i dosłano brakującą pokrywkę. Jak się okazało w sklepie było wystawione zdjęcie przekłamujące faktyczny wygląd produktu. Otrzymałem przezroczystą pokrywkę, na zdjęciu była szara. Zaproponowano mi skorzystanie z darmowego odesłania towaru.",535.0,1
"Bezproblemowe zakupy, towar solidny i zgodny z opisem na stronie.",65.0,1
Bardzo szybko wysyłają towar. Jest on zgodny z opisem i bardzo dobrze zapakowany do transportu,94.0,1
"Jestem zadowolona z przebiegu zakupów. Pierwszy raz robiłam zakupy w sklepie ""Garneczki""",88.0,1
Bardzo dobra obsługa i jakość produktów.,40.0,1
"Szybka przesyłka, produkty zgodnie z oczekiwaniem",49.0,1
Rewelacyjny sklep internetowy. Gorąco wszystkim polecam!,56.0,1
"Świetny sklep,  polecam serdecznie",34.0,1
"Fajne produkty, duży wybór i ceny w sam raz. Polecam.",53.0,1
0,0.0,0
0,0.0,0
Szybko i sprawnie zrealizowane zamówienie. Reklamacja uszkodzonego w transporcie towaru rozpatrzona została w tempie ekspresowym. Polecam!,138.0,1
"Już kolejny raz zrobiłam zakupy w tym sklepie i po raz kolejny jestem bardzo zadowolona z obsługi (bardzo dobry kontakt ze sklepem, miła i kompetentna obsługa klienta oraz szybka realizacja zmówienia) oraz z jakości otrzymanego towaru. Dlatego nadal będę robiła tam zakupy.",273.0,1
"Świetny kontakt, szybka , bardzo dobrze  zabezpieczona przesyłka to zalety tego sklepu.",87.0,1
"przesyłka w porządku, bardzo szybka realizacja zamówienia, kontakt ze sklepem również bez zastrzeżeń, polecam",109.0,1
"Szybka i profesjonalna obsługa, serdecznie polecam tego sprzedawcę.",67.0,1
"Polecam sklep, sama jeszcze będę tu robiła zakupy",49.0,1
"Bardzo dobra, przesyłka zapakowana idealnie, moje ""szkło"" dotarło w całości :)",78.0,1
Kolejny zakup w sklepie i kolejny szybki towar w moim domu.Poleciłam znajomej,77.0,1
"dzięki za super ekspres w realizacji, sobotnia kawka z kawiarki - boska",71.0,1
"Bardzo szybka realizacja, jestem zadowolona",43.0,1
0,0.0,0
"Zakupy bez zarzutu. Towar zgodny z opisem, bardzo dobrze zapakowany. Polecam z czystym sumieniem.",97.0,1
"Szybka i sprawna oraz bezproblemowa  realizacja zamówienia,",59.0,1
"Bardzo dobra komunikacja, zgodnosc z opisem i szybka dostawa.",61.0,1
Szybka dostawa jestem zadowolona z produktów z tej strony,57.0,1
"Świetny sklep, rewelacyjne podejście do klienta, polecam!",57.0,1
Mimo opóźnienia z mojej strony przesyłka czekała. Dogodne godziny odbioru i miła obsługa.,89.0,1
Bardzo polecam ten sklep internetowy. Szybko zrealizowana dostawa i dobre śledzenie przesyłki.,94.0,1
"Bardzo udany zakup! Zamówiłam książkę w sobotę, a w poniedziałek o 12 książka była już do odebrania w księgarni. Cena książki mniejsza niż w innych księgarniach. Polecam",169.0,1
"Świetna obsługa, szybka dostawa i ekstra ceny. Polecam",54.0,1
"Szybko,profesjonalnie, w dobrej cenie.Polecam",45.0,1
Towar solidnie i bezpiecznie zapakowany.
"szybko,atrakcyjne ceny, szczerze polecam",40.0,1
"Transakcja przebiegła pomyślnie, polecam.",41.0,1
"Rewelacja, miła i profesjonalna obsługa. Polecam",48.0,1
"Kolejna udana transakcja, kolejny zadowolony klient. Bardzo porządny sklep. Bez zarzutu i jak najbardziej do polecenia.",119.0,1
super towary i blyskawiczna wysylka,35.0,1
"Świetny sklep, miła obsługa. I nowości są na czas. Gorąco polecam.",66.0,1
"Bardzo gorąco polecam !
Wszystko w porządku. Szybko i tanio.,36.0,1
"Bardzo dobrze przeprowadzona transakcja, ekspresowa dostawa, miła obsługa w szczecińskiej księgarni, sprzedawcy bardzo profesjonalni. POLECAM KAŻDEMU, sam pewnie jeszcze niejednokrotnie skorzystam z Waszych usług!!!",215.0,1
szybka realizacja zamówienia. Bardzo niska cena dzięki promocji. Bez zastrzeżeń,79.0,1
Transakcja na najwyższym poziomie. Ogromny atut to błyskawiczna wysyłka. Polecam,80.0,1
"Całkiem dobrze zbudowany serwis internetowy, łatwy w obsłudze. Sklep oferuje często ciekawe promocje.",101.0,1
"Profesjonalna obsługa, łatwość w obsłudze programu, fajne opcje z obróbką zdjęć. Wszystko ok. Na pewno skorzystam jeszcze nie raz.",130.0,1
"Wszystko ok, fotoobrazy b. Ładne",32.0,1
Składałam kolejne zamówienie i ponownie się nie zawiodłam. Wszystko OK,70.0,1
"Zamówiłam kalendarze A3 ze zdjęciami, bardzo łatwo wykonuje się samodzielnie projekt, sposób zamawiania również jest prosty, przesyłka błyskawiczna, jakość świetna. Zdecydowanie polecam!",186.0,1
Profesjonalizm w obsłudze klienta - w najwyższym stopniu.,57.0,1
Wysyłka super ekstra to się nie zmieniło. Tak samo kontakt. Mam nadzieje że moja ocena pomoże w rozwoju. Ponieważ lubię Państwa usługi",853.0,1
"Obsługa systemu nieprzystosowana do większych zamówień dla zawodowców, trudny, niezrozumiały system obsługi z autorskimi ""kodami"", szczególnie za pierwszym razem całkowicie niezrozumiały i zniechęcający. Potrzebowałem zamówić 300 odbitek 15 x 21, nie było gotowego pakietu z ""kodami"" w takiej ilości, żeby złożyć zamówienie musiałem obejść cały system dokładnie 15 razy, za każdym razem ustawiać parametry odbitek i uważać, żeby się w niczym nie pomylić, zajęło mi to jakieś 2 godziny, po czym okazało się, że źle, że ""kody"" trzeba było kupić na początku. Musiałem obchodzić system kolejne 15 razy, wpisywać idiotyczne kody, skończyłem o 5:25 rano! Klient chce zamówić towar, zapłacić i koniec. Nie obchodzą mnie żadne kody! Rozdzielczość odbitek cudowna, papier cudowny, towar zabezpieczony cudownie!",801.0,1
"Rewelacja. Świetna jakość książek, super edytor do tworzenia swoich albumów. Elegancki prezent. Bardzo polecam firmę UwolnijKolory.",131.0,1
0,0.0,0
Bardzo polecam! Błyskawiczna realizacja i super wykonanie :),60.0,1
Jestem bardzo zadowolona za jakości oraz szybkości dostawy. Jak najbardziej polecam. Skorzystam ponownie.,105.0,1
"super jakosc ,szybka realizacja,",32.0,1
"Jestem zadowolona z uslugi. przebieg zamowienia sprawny, szybko, bezproblemowo. oczywiscie polecam",98.0,1
Transakcja przebiegła pomyślnie . Polecam.,42.0,1
"Bardzo się cieszę, że znalazłam tą firmę. Fotoksiążka była rewelacyjna. pozdrawiam.",83.0,1
Poza tym wszystko dobrze.",336.0,1
"Jestem bardzo zadowolona z zakupów! Produkt w dobrej cenie, błyskawiczna i do tego darmowa przesyłka, wszystko zgodnie z oczekiwaniami. Polecam!",144.0,1
"NAJGORSZY SKLEP INTERNETOWY!!! Zamówiłam telewizor, który nie dotarł w umówionym terminie. Każdorazowa rozmowa telefoniczna kończyła się fiaskiem, żaden konsultant nie potrafił odpowiedzieć co się stało. Za każdym razem otrzymywałam inną odpowiedź. Do tej pory sprawa nie wyjaśniona, produktu brak. Odradzam korzystanie ze sklepu ""Ole Ole""",339.0,-1
"Bardzo dobry sklep ,szybka dostawa  i profesjonalna obsługa,Polecam!!",69.0,1
To mój trzeci zakup w Ole. Sklep godny polecenia.,49.0,1
"Wysyłka bardzo szybka, faktura na maila bez przypominania, wszystko spoko.",74.0,1
Polecam wszystkim niezdecydowanym,33.0,1
Transakcja przebiegla pomyślnie. Polecam,40.0,1
"Profesjonalna i błyskawiczna dostawa. Bardzo dobry kontakt, polecam.",68.0,1
"SZYBKA WYSYŁKA, SPRAWNY TOWAR, ESTETYCZNA I PRZEJRZYSTA STRONA,",63.0,1
"Witam, odradzam kupującym usługi tego sklepu. Chciałem skorzystać z akcji promocyjnej Grande Okazjon Powrót. Zachęciła mnie cena tv LG. Po złożeniu zamówienia zostało anulowane. Powodem był brak pozwolenia na sprzedaż mi osobiście tego tv, wydany przez dział handlowy. Poinformowała mnie o tym pani z infolinii. Dodała też, że klienci przy akcji promocyjnej są selekcjonowani pod katem tego czy mają działalność gospodarczą, czy są już klientami sklepu czy dopiero założyli konto. Dobrze że nie ze względu na koloru oczu i obwodu czaszki. Dlatego ja też będę następnym razem prowadził ostrą selekcję gdy będę robił zakupy przez internet. PS towary nie promocyjne mogłem zakupić normalnie, ale zrezygnowałem z zamówienia po tym jak zostałem w ten sposób potraktowany.",766.0,-1
Towar zgodny z ofertą. Szybki transport. Polecam.,49.0,1
"Szybka realizacja, bezproblemowe poruszanie się po sklepie i proces składania zamówień",86.0,1
"Rzetelna firma, pomimo błędu potrafiła pozytywnie doprowadzić transakcję do końca",81.0,1
"Bardzo sprawna, szybka dostawa. Towar zgodny z opisem.",54.0,1
Sklep godny zaufania. Transakcja przebiegła sprawnie.,53.0,1
Edmund Klich  Rosjanie uznali lot z  10 kwietnia operował jako cywilny,,-1
Straszny to był widok jak  Żyd prowadził na,,-1
Cześć. Mam na imię Maciek mam 15 lat..... Jestem biseksualistą. Może to sie niektórym wyda dziwne ale mój pierwszy raz chciałbym spędzić z mężczyzną. Jestem z Tarnowa. Panów z Tarnowa lub okolic zapraszam do rozmowy ze mną narazie tylko e-mail mr_focus00@op.pl nie prosze zadnych starych pedofilów :/ Będę rozmawial tylko z młodymi gejami albo biseksualistami pa .Cześć mam 15 lat jestem z Tarnowa napisz do mnie na gg 7149816,,-1
brawo te transfery to krzyk rozpaczy pek. misiek roman ludwik grzechu brawo!,,-1
skoro jarosław gowin to skrajny liberał to kim są ludzie z  i  ?,,-1
barbara dolniak wicemarszałkiem sejmu  …   ,,-1
obrady to sprawa demokracji w sadzie nie ma demokracji jest za to prawo.,,-1
ach ta manipulacja kolorem...smutny cz-b kaczyński i pogodny kolorowy petru. no palce lizać! szkoda że sondaż trefny..,,-1
imigranci są jak woda na młyn waszego poparcia. oby tak dalej :),,-1
znając taśmy  kulczyk widać że macherzy 3rp nie boją się  oni boją się ,,-1
"przemysław  o lisie: ""śpiewanie sto lat tuskowi w studio to symbol""  ",,-1
cholera przeciez polska wg  to mordor wszystko w ruinie zepsute rozwalone. suprajsss:)   …,,-1
j. kaczyński: mamy prawo bronić naszej suwerenności. …    ,,-1
